code_point	ideograph	indexes
U+3687	㚇	⼢ + 6, ⽁ + 6
U+3E13	㸓	⽖ + 4, ⽈ + 4
U+4040	䁀	⽬ + 7, ⽇ + 8
U+4347	䍇	⽸ + 5, ⽸ + 4
U+49F9	䧹	⾫ + 5, ⼴ + 10
U+4BE7	䯧	⾼ + 2, ⼇ + 10
U+4C1B	䰛	⿀ + 5, ⽡ + 10
U+4E13	专	⼀ + 3, ⼆ + 2
U+4E22	丢	⼀ + 5, ⼃ + 5
U+4E53	乓	⼃ + 5, ⼂ + 5
U+4E60	习	⼄ + 2, ⼎ + 1
U+4E61	乡	⼳ + 0, ⼃ + 2
U+4E66	书	⼄ + 3, ⼁ + 3
U+4E78	乸	⼄ + 7, ⽏ + 3
U+4E90	亐	⼀ + 2, ⼆ + 1
U+4EA7	产	⼇ + 4, ⽴ + 1
U+4EB2	亲	⼇ + 7, ⽴ + 4
U+4EB5	亵	⼇ + 10, ⾐ + 6
U+5170	兰	⼋ + 3, ⼀ + 4
U+5173	关	⼋ + 4, ⼤ + 3
U+5179	兹	⼋ + 7, ⼳ + 6
U+517B	养	⼋ + 7, ⽺ + 3
U+517D	兽	⼋ + 9, ⼝ + 8
U+51E6	処	⼏ + 3, ⼡ + 2
U+51EC	凬	⼏ + 5, ⾵ + 0
U+51FC	凼	⼐ + 4, ⽔ + 2
U+520D	刍	⼑ + 3, ⼹ + 2
U+521D	初	⼑ + 5, ⾐ + 2
U+52D7	勗	⽇ + 7, ⽈ + 7, ⼒ + 9
U+52F2	勲	⼒ + 13, ⽕ + 11
U+5344	卄	⼀ + 2, ⼗ + 1
U+535F	卟	⼘ + 3, ⼝ + 2
U+5367	卧	⼘ + 6, ⾂ + 2
U+537F	卿	⼙ + 8, ⼙ + 10
U+5386	历	⼚ + 2, ⼒ + 2
U+53AF	厯	⼚ + 11, ⼼ + 10
U+53BC	厼	⼛ + 3, ⼩ + 2
U+53C6	叆	⼛ + 12, ⼆ + 12
U+53C7	叇	⼛ + 13, ⼆ + 13
U+53D8	变	⼜ + 6, ⼇ + 6
U+542F	启	⼝ + 4, ⼾ + 3
U+553E	唾	⼝ + 8, ⼝ + 9
U+555F	啟	⽁ + 7, ⼝ + 8
U+55B6	営	⼝ + 9, ⼩ + 9
U+5655	噕	⽖ + 11, ⼝ + 12
U+56CA	囊	⼝ + 19, ⾐ + 17
U+5723	圣	⼟ + 2, ⼜ + 3
U+5782	垂	⼟ + 5, ⼠ + 5
U+5792	垒	⼟ + 6, ⼛ + 7
U+57CA	埊	⼟ + 7, ⼭ + 7
U+5841	塁	⼟ + 9, ⽥ + 7
U+585F	塟	⼟ + 10, ⾋ + 9
U+58A8	墨	⿊ + 3, ⼟ + 12
U+593B	夻	⼤ + 3, ⼝ + 3
U+5986	妆	⼥ + 3, ⽙ + 3
U+599B	妛	⼥ + 4, ⼭ + 4
U+5A04	娄	⽶ + 3, ⼥ + 6
U+5BF9	对	⼨ + 2, ⼜ + 3
U+5C18	尘	⼩ + 3, ⼟ + 3
U+5C1D	尝	⼩ + 6, ⼛ + 7
U+5C21	尡	⼩ + 11, ⼉ + 12
U+5C27	尧	⼪ + 3, ⼉ + 4
U+5C2D	尭	⼪ + 5, ⼉ + 6
U+5C39	尹	⼃ + 3, ⼫ + 1
U+5C57	屗	⼫ + 7, ⼨ + 7
U+5C58	屘	⼫ + 7, ⼦ + 7
U+5DD7	巗	⼭ + 19, ⼭ + 20
U+5DE1	巡	⾡ + 3, ⼮ + 4
U+5E42	幂	⼱ + 9, ⼍ + 10
U+5F00	开	⼶ + 1, ⼀ + 3
U+5F03	弃	⼶ + 4, ⼇ + 5
U+5F2F	弯	⼸ + 6, ⼇ + 7
U+5F6A	彪	⾌ + 5, ⼺ + 8
U+604B	恋	⼼ + 6, ⼇ + 8
U+620F	戏	⼽ + 2, ⼜ + 4
U+631B	挛	⼿ + 6, ⼇ + 8
U+6376	捶	⼿ + 8, ⼿ + 9
U+6530	攰	⽀ + 2, ⼒ + 4
U+654C	敌	⽁ + 6, ⾆ + 4
U+6588	斈	⽂ + 3, ⼦ + 4
U+663C	昼	⽇ + 5, ⼫ + 6
U+66F1	曱	⽈ + 1, ⽥ + 0
U+6700	最	⼌ + 10, ⽈ + 8
U+6721	朡	⾁ + 9, ⽉ + 9
U+6730	朰	⽊ + 1, ⼄ + 4
U+6765	来	⽊ + 3, ⼀ + 6
U+683E	栾	⽊ + 6, ⼇ + 8
U+68A6	梦	⽊ + 7, ⼣ + 8
U+6983	榃	⽊ + 9, ⽥ + 8
U+6B22	欢	⽋ + 2, ⼜ + 4
U+6B3D	欽	⽋ + 8, ⾦ + 4
U+6B76	歶	⽌ + 11, ⽱ + 10
U+6BD5	毕	⽐ + 2, ⼗ + 4
U+6BD7	毗	⽐ + 5, ⽥ + 4
U+6C39	氹	⽔ + 1, ⼄ + 4
U+6C3D	氽	⼊ + 4, ⽔ + 2
U+6CF5	泵	⽯ + 4, ⽔ + 5
U+6E20	渠	⽔ + 9, ⽊ + 8
U+6ECB	滋	⽔ + 9, ⽔ + 10
U+7075	灵	⽕ + 3, ⼹ + 4
U+70FE	烾	⽕ + 7, ⼟ + 8
U+715B	煛	⽕ + 10, ⽬ + 9
U+7262	牢	⽜ + 3, ⼧ + 4
U+7275	牵	⽜ + 5, ⼤ + 6
U+72B6	状	⽝ + 3, ⽙ + 4
U+732A	猪	⽝ + 8, ⽝ + 9
U+738A	玊	⽟ + 1, ⽟ + 0
U+738D	玍	⽟ + 1, ⼟ + 2
U+7409	琉	⽟ + 6, ⽟ + 7
U+7519	甙	⽢ + 3, ⼷ + 5
U+753B	画	⽥ + 3, ⼀ + 7
U+7551	畑	⽥ + 4, ⽕ + 5
U+7553	畓	⽥ + 4, ⽔ + 5
U+7568	畨	⽶ + 5, ⽥ + 6
U+761F	瘟	⽧ + 9, ⽧ + 10
U+7640	癀	⽧ + 12, ⽧ + 11
U+76F4	直	⽬ + 3, ⼗ + 6
U+771F	真	⽬ + 5, ⼋ + 8
U+7740	着	⽬ + 7, ⽺ + 5, ⽬ + 6
U+7761	睡	⽬ + 9, ⽬ + 8
U+77D7	矗	⽬ + 19, ⼗ + 22
U+79BB	离	⽱ + 6, ⼇ + 8
U+79CC	秌	⽲ + 4, ⽕ + 5
U+7A77	穷	⽳ + 2, ⼒ + 5
U+7ADF	竟	⾳ + 2, ⽴ + 6
U+7AE0	章	⾳ + 2, ⽴ + 6
U+7C74	籴	⽶ + 2, ⼊ + 6
U+7C7B	类	⽶ + 3, ⼤ + 6
U+7F74	罴	⽹ + 9, ⽕ + 10
U+7FF5	翵	⽻ + 11, ⿃ + 6
U+8006	耆	⽼ + 4, ⽇ + 6
U+8206	舆	⾅ + 10, ⼋ + 12
U+8270	艰	⾉ + 2, ⼜ + 6
U+8314	茔	⾋ + 5, ⼟ + 5
U+8346	荆	⾋ + 6, ⼑ + 8
U+8363	荣	⾋ + 6, ⽊ + 5
U+8365	荥	⾋ + 6, ⽔ + 5
U+8366	荦	⾋ + 6, ⽜ + 5
U+8367	荧	⾋ + 6, ⽕ + 5
U+83B9	莹	⾋ + 7, ⽟ + 5
U+8426	萦	⾋ + 8, ⽷ + 5
U+842C	萬	⽱ + 8, ⾋ + 9
U+84B8	蒸	⽕ + 10, ⾋ + 10
U+8531	蔱	⾋ + 11, ⾋ + 10
U+8651	虑	⾌ + 4, ⼼ + 6
U+8652	虒	⼚ + 8, ⾌ + 4
U+867D	虽	⾍ + 3, ⼝ + 6
U+8996	視	⽰ + 7, ⾒ + 5
U+89D5	觕	⾓ + 4, ⽜ + 7
U+8D01	贁	⽁ + 14, ⾙ + 11
U+8F9E	辞	⾟ + 6, ⾆ + 7
U+8FAE	辮	⾟ + 13, ⽷ + 14
U+8FF8	迸	⾡ + 6, ⾡ + 8
U+9077	遷	⾡ + 12, ⾡ + 11
U+96BE	难	⾫ + 2, ⼜ + 8
U+96D0	雐	⾫ + 6, ⾌ + 8
U+9756	靖	⾭ + 5, ⽴ + 8
U+9763	靣	⾯ + 0, ⼝ + 5
U+9765	靥	⾯ + 6, ⼚ + 13
U+97EE	韮	⾲ + 4, ⾋ + 9
U+9834	頴	⾴ + 7, ⽰ + 11
U+9848	顈	⾴ + 8, ⽷ + 11
U+98F1	飱	⾷ + 4, ⽍ + 9
U+990D	餍	⾷ + 6, ⼚ + 13
U+995F	饟	⾷ + 17, ⾺ + 17
U+99E1	駡	⾺ + 6, ⼝ + 13
U+9CEC	鳬	⿃ + 2, ⼏ + 7
U+9D2B	鴫	⿃ + 5, ⽥ + 11
U+9D64	鵤	⾓ + 11, ⿃ + 7
U+9DE0	鷠	⿂ + 11, ⿃ + 11
U+9ED9	黙	⽕ + 11, ⿊ + 4
U+9EEF	黯	⿊ + 9, ⾳ + 12
U+9F8E	龎	⿓ + 2, ⼚ + 16
U+9F90	龐	⼴ + 16, ⿓ + 3
U+9FBD	龽	⽕ + 11, ⿂ + 4
U+9FC2	鿂	⾞ + 11, ⿃ + 7
U+FAAA	着	⽬ + 7, ⽺ + 5
U+FAC8	靖	⾭ + 5, ⽴ + 8
U+20063	𠁣	⼁ + 3, ⾨ + -4
U+20064	𠁤	⼞ + 2, ⾑ + -1
U+20099	𠂙	⼃ + 4, ⽾ + -1
U+200DB	𠃛	⼄ + 3, ⾨ + -4
U+2010E	𠄎	⼅ + 1, ⼄ + 0
U+203A4	𠎤	⼈ + 12, ⿕ + -3
U+20533	𠔳	⼋ + 14, ⽴ + 8
U+2053B	𠔻	⾅ + 58, ⼋ + 62
U+2053E	𠔾	⼌ + 2, ⾈ + -2
U+2056B	𠕫	⼼ + 11, ⼌ + 13
U+221A1	𢆡	⼄ + 13, ⼦ + 11, ⼲ + 11
U+22605	𢘅	⼼ + 5, ⽭ + 4
U+22FA3	𢾣	⽁ + 8, ⽁ + 7
U+2305B	𣁛	⽁ + 11, ⽂ + 11
U+2398A	𣦊	⽌ + 9, ⿒ + -2
U+243F2	𤏲	⽕ + 12, ⽕ + 11
U+244BC	𤒼	⽕ + 19, ⽕ + 18
U+244F0	𤓰	⽖ + 0, ⽠ + -1
U+246FF	𤛿	⽜ + 15, ⿉ + 7
U+24B96	𤮖	⽡ + 8, ⽡ + 10
U+24C48	𤱈	⽥ + 4, ⼘ + 7
U+26451	𦑑	⼼ + 11, ⽻ + 8
U+26EC7	𦻇	⼼ + 14, ⼬ + 15
