code_point	ideograph	indexes
U+3400	㐀	⼀ + 4
U+3401	㐁	⼀ + 5
U+3402	㐂	⼀ + 5
U+3403	㐃	⼁ + 2
U+3404	㐄	⼁ + 2
U+3405	㐅	⼃ + 1
U+3406	㐆	⼃ + 5
U+3407	㐇	⼄ + 2
U+3408	㐈	⼄ + 2
U+3409	㐉	⼄ + 2
U+340A	㐊	⼄ + 3
U+340B	㐋	⼄ + 3
U+340C	㐌	⼄ + 4
U+340D	㐍	⼄ + 4
U+340E	㐎	⼄ + 4
U+340F	㐏	⼄ + 4
U+3410	㐐	⼄ + 5
U+3411	㐑	⼄ + 5
U+3412	㐒	⼄ + 5
U+3413	㐓	⼄ + 5
U+3414	㐔	⼄ + 5
U+3415	㐕	⼄ + 5
U+3416	㐖	⼄ + 6
U+3417	㐗	⼄ + 6
U+3418	㐘	⼄ + 6
U+3419	㐙	⼄ + 7
U+341A	㐚	⼄ + 7
U+341B	㐛	⼄ + 7
U+341C	㐜	⼄ + 8
U+341D	㐝	⼄ + 8
U+341E	㐞	⼄ + 8
U+341F	㐟	⼄ + 8
U+3420	㐠	⼄ + 8
U+3421	㐡	⼄ + 10
U+3422	㐢	⼄ + 10
U+3423	㐣	⼄ + 10
U+3424	㐤	⼄ + 11
U+3425	㐥	⼄ + 15
U+3426	㐦	⼄ + 18
U+3427	㐧	⼅ + 3
U+3428	㐨	⼅ + 7
U+3429	㐩	⼆ + 6
U+342A	㐪	⼇ + 4
U+342B	㐫	⼇ + 4
U+342C	㐬	⼇ + 5
U+342D	㐭	⼇ + 6
U+342E	㐮	⼇ + 11
U+342F	㐯	⼇ + 15
U+3430	㐰	⼈ + 3
U+3431	㐱	⼈ + 3
U+3432	㐲	⼈ + 3
U+3433	㐳	⼈ + 3
U+3434	㐴	⼈ + 3
U+3435	㐵	⼈ + 3
U+3436	㐶	⼈ + 3
U+3437	㐷	⼈ + 3
U+3438	㐸	⼈ + 4
U+3439	㐹	⼈ + 4
U+343A	㐺	⼈ + 4
U+343B	㐻	⼈ + 4
U+343C	㐼	⼈ + 4
U+343D	㐽	⼈ + 4
U+343E	㐾	⼈ + 4
U+343F	㐿	⼈ + 4
U+3440	㑀	⼈ + 4
U+3441	㑁	⼈ + 5
U+3442	㑂	⼈ + 5
U+3443	㑃	⼈ + 5
U+3444	㑄	⼈ + 5
U+3445	㑅	⼈ + 5
U+3446	㑆	⼈ + 5
U+3447	㑇	⼈ + 5
U+3448	㑈	⼈ + 5
U+3449	㑉	⼈ + 6
U+344A	㑊	⼈ + 6
U+344B	㑋	⼈ + 6
U+344C	㑌	⼈ + 6
U+344D	㑍	⼈ + 6
U+344E	㑎	⼈ + 6
U+344F	㑏	⼈ + 6
U+3450	㑐	⼈ + 6
U+3451	㑑	⼈ + 6
U+3452	㑒	⼈ + 6
U+3453	㑓	⼈ + 6
U+3454	㑔	⼈ + 6
U+3455	㑕	⼈ + 6
U+3456	㑖	⼈ + 6
U+3457	㑗	⼈ + 7
U+3458	㑘	⼈ + 7
U+3459	㑙	⼈ + 7
U+345A	㑚	⼈ + 7
U+345B	㑛	⼈ + 7
U+345C	㑜	⼈ + 7
U+345D	㑝	⼈ + 7
U+345E	㑞	⼈ + 7
U+345F	㑟	⼈ + 7
U+3460	㑠	⼈ + 7
U+3461	㑡	⼈ + 7
U+3462	㑢	⼈ + 7
U+3463	㑣	⼈ + 8
